Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Thu Sep 08 12:06:03 EDT 2022,ClassRegistry.java,1662653163069,4542,4542,(I)19(R)3(I)3,88.0,0.0,0.0,0.0,12.0,0.0,6.25,0.0,0.0,0.0,0.0,0.75,5.5,0.0,[]
,/modelData/A0UserStudy2010.arff,Thu Sep 08 12:06:03 EDT 2022,ClassRegistry.java, 1662653163069
2,,Thu Sep 08 12:06:07 EDT 2022,RunF22A02Tests.java,1662653167852,49215,0,(I)14(F)4(I)3,80.95238095238095,0.0,0.0,19.047619047619047,0.0,0.0,0.42857142857142855,0.0,0.0,0.08163265306122448,0.0,0.0,0.3469387755102041,0.0,[]
3,,Thu Sep 08 12:06:57 EDT 2022,RunF22A02Tests.java,1662653217067,11369,0,(D)1(F)1,0.0,50.0,0.0,50.0,0.0,0.0,0.18181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,[]
4,,Wed Dec 31 19:00:00 EST 1969,RunF22A02Tests.java,0,-1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
5,,Wed Dec 31 19:00:00 EST 1969,RunF22A02Tests.java,0,-1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
6,,Wed Dec 31 19:00:00 EST 1969,RunF22A02Tests.java,0,-1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
7,,Thu Sep 08 12:07:10 EDT 2022,ClassRegistry.java,1662653230872,264057,0,(D)1(F)1(I)6(R)1(I)2,72.72727272727273,9.090909090909092,0.0,9.090909090909092,9.090909090909092,0.0,0.041666666666666664,0.0,0.003787878787878788,0.003787878787878788,0.0,0.003787878787878788,0.030303030303030304,0.0,[]
8,,Thu Sep 08 12:11:35 EDT 2022,RunF22A02Tests.java,1662653495017,19258,0,(R)1(I)3(D)1(F)1,50.0,16.666666666666664,0.0,16.666666666666664,16.666666666666664,0.0,0.3157894736842105,0.0,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.15789473684210525,0.0,[]
9,,Wed Dec 31 19:00:00 EST 1969,RunF22A02Tests.java,0,-1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
10,,Wed Dec 31 19:00:00 EST 1969,RunF22A02Tests.java,0,-1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
11,,Wed Dec 31 19:00:00 EST 1969,RunF22A02Tests.java,0,-1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
12,,Thu Sep 08 12:11:56 EDT 2022,BasicModel.java,1662653516597,235659,0,(F)1(I)3(F)4(I)1,44.44444444444444,0.0,0.0,55.55555555555556,0.0,0.0,0.03829787234042553,0.0,0.0,0.02127659574468085,0.0,0.0,0.01702127659574468,0.0,[]
13,,Thu Sep 08 12:15:56 EDT 2022,InterpolatingMain.java,1662653756320,257987,0,(I)1(R)5(I)1(F)4(I)1(F)2(I)1(D)1,25.0,6.25,0.0,37.5,31.25,0.0,0.0622568093385214,0.0,0.0038910505836575876,0.023346303501945526,0.0,0.019455252918287938,0.01556420233463035,0.0,[]
14,,Thu Sep 08 12:20:15 EDT 2022,InterpolatingMain.java,1662654015035,79478,0,(F)11,0.0,0.0,0.0,100.0,0.0,0.0,0.13924050632911392,0.0,0.0,0.13924050632911392,0.0,0.0,0.0,0.0,[]
15,,Thu Sep 08 12:21:43 EDT 2022,BasicMain.java,1662654103798,49618,0,(F)1(I)1(D)1(F)7,10.0,10.0,0.0,80.0,0.0,0.0,0.20408163265306123,0.0,0.02040816326530612,0.16326530612244897,0.0,0.0,0.02040816326530612,0.0,[]
16,,Thu Sep 08 12:22:35 EDT 2022,BasicMain.java,1662654155292,56101,0,(F)3(I)1(F)3,14.285714285714285,0.0,0.0,85.71428571428571,0.0,0.0,0.125,0.0,0.0,0.10714285714285714,0.0,0.0,0.017857142857142856,0.0,[]
17,,Thu Sep 08 12:23:33 EDT 2022,RunF22A02Tests.java,1662654213353,301679,0,(F)7(I)1(N)1(I)3(D)1(F)1,28.57142857142857,7.142857142857142,7.142857142857142,57.14285714285714,0.0,0.0,0.046511627906976744,0.0033222591362126247,0.0033222591362126247,0.026578073089700997,0.0,0.0,0.013289036544850499,0.0,[]
18,,Thu Sep 08 12:28:35 EDT 2022,ControllerFactory.java,1662654515070,44432,0,(F)1(I)2(R)11(I)5,36.84210526315789,0.0,0.0,5.263157894736842,57.89473684210527,0.0,0.4318181818181818,0.0,0.0,0.022727272727272728,0.0,0.25,0.1590909090909091,0.0,[]
