Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Sun Sep 11 12:27:01 EDT 2022,BasicSocialDistanceUtility.java,1662913621015,104088,0,(I)1(F)2(I)5(F)2(I)8(R)2(I)2,72.72727272727273,0.0,0.0,18.181818181818183,9.090909090909092,0.0,0.21153846153846154,0.0,0.0,0.038461538461538464,0.0,0.019230769230769232,0.15384615384615385,0.0,[]
,/modelData/A0UserStudy2010.arff,Sun Sep 11 12:27:01 EDT 2022,BasicSocialDistanceUtility.java, 1662913621015
2,,Sun Sep 11 12:28:45 EDT 2022,BasicSocialDistanceUtility.java,1662913725883,16812,0,(I)3(R)4(I)5(R)1(I)4,70.58823529411765,0.0,0.0,0.0,29.411764705882355,0.0,1.0625,0.0,0.0,0.0,0.0,0.3125,0.75,0.0,[]
3,,Sun Sep 11 12:29:02 EDT 2022,SocialDistanceUtilityTesterMain.java,1662913742977,33963,0,(I)7(F)2(I)3(R)1(I)5(D)1,78.94736842105263,5.263157894736842,0.0,10.526315789473683,5.263157894736842,0.0,0.5757575757575758,0.0,0.030303030303030304,0.06060606060606061,0.0,0.030303030303030304,0.45454545454545453,0.0,[]
4,,Sun Sep 11 12:29:37 EDT 2022,BasicSocialDistanceUtility.java,1662913777085,48999,0,(D)1(I)10(F)5,62.5,6.25,0.0,31.25,0.0,0.0,0.3333333333333333,0.0,0.020833333333333332,0.10416666666666667,0.0,0.0,0.20833333333333334,0.0,[]
5,,Sun Sep 11 12:30:27 EDT 2022,BasicSocialDistanceUtility.java,1662913827845,248084,0,(F)1(I)2(D)3(F)2(D)1(I)1(D)1,27.27272727272727,45.45454545454545,0.0,27.27272727272727,0.0,0.0,0.04435483870967742,0.0,0.020161290322580645,0.012096774193548387,0.0,0.0,0.012096774193548387,0.0,[]
6,,Sun Sep 11 12:34:35 EDT 2022,BasicSocialDistanceUtility.java,1662914075943,35561,0,(I)1(D)2(I)1(D)8,16.666666666666664,83.33333333333334,0.0,0.0,0.0,0.0,0.34285714285714286,0.0,0.2857142857142857,0.0,0.0,0.0,0.05714285714285714,0.0,[]
7,,Sun Sep 11 12:35:11 EDT 2022,SocialDistanceUtilityTesterMain.java,1662914111506,46745,0,(I)3(D)3(F)3,33.33333333333333,33.33333333333333,0.0,33.33333333333333,0.0,0.0,0.1956521739130435,0.0,0.06521739130434782,0.06521739130434782,0.0,0.0,0.06521739130434782,0.0,[]
8,,Sun Sep 11 12:37:40 EDT 2022,BasicSocialDistanceUtility.java,1662914260092,7119874,0,(F)2(I)1(F)1(I)3(F)10,23.52941176470588,0.0,0.0,76.47058823529412,0.0,0.0,0.002387975839303273,0.0,0.0,0.0018260991712319146,0.0,0.0,5.618766680713583E-4,0.0,[]
9,,Sun Sep 11 14:33:39 EDT 2022,BasicSocialDistanceUtility.java,1662921219334,399711,0,(I)2(F)11(I)1(F)2(I)1(F)3,20.0,0.0,0.0,80.0,0.0,0.0,0.05012531328320802,0.0,0.0,0.040100250626566414,0.0,0.0,0.010025062656641603,0.0,[]
10,,Sun Sep 11 14:40:32 EDT 2022,BasicSocialDistanceUtility.java,1662921632916,158010,0,(F)4(I)7(D)1(I)1(D)1,57.14285714285714,14.285714285714285,0.0,28.57142857142857,0.0,0.0,0.08860759493670886,0.0,0.012658227848101266,0.02531645569620253,0.0,0.0,0.05063291139240506,0.0,[]
